字符串序号	字号大小	简体中文	英语	西班牙语	法语	意大利语	俄语	德语	日语	韩语	土耳其语	乌克兰语	结束列
1	\t	准备	Prepare	Preparar	Préparer	Prepara	Подготовить	Vorbereiten	準備	준비	Hazırlık	Підготувати	-
2	\t	风扇	Fan	Ventilador	Ventilateur	Ventola	Охлаждение	Lüfter	ファン	팬	Fan	Охолодження	-
3	\t	打印速度	Print speed	Velocidad de impresión	Vitesse d'impression	Velocità di stampa	Скорость печати	Druckgeschwindigkeit	プリントスピード	프린트 속도	Yazdırma Hızı	Швидкість друку	
4	\t	狂暴	Ludicrous	Rápido	Rapide	Violento	Cильный	Schnell	強力	격렬 모드	Hızlı	Максимум	-
5	\t	运动	Sport	Deporte	Sport	Sport	Спорт	Sport	スポーツ	스포츠 모드	Spor	Спорт	-
6	\t	均衡	Balanced	equilibrio	Équilibré	Equilibrata	баланс	ausgl	バランス	밸런스 모드	Dengeli	Збалансовано	-
7	\t	进料	Load	Cargar	Charger	Caricamento	Заправка	Laden	挿入	로드	Yükleme	Заправка	-
8	\t	退料	Unload	Descargar	Décharger	Scaricamento	Извлечение	Entladen	取り外し	언로드	Boşaltma	Вилучення	-
9	\t	辅助风扇	Auxiliary fan	Ventilador auxiliar	Ventilateur auxiliaire	Ventola ausiliario	Дополнительное охлаждение	Zusatzlüfter	補助ファン	보조팬	Yardımcı Fan	Додаткове охолодження	-
10	\t	模型风扇	Model fan	Ventilador del modelo	Ventilateur du modèle	Ventola del modello	Модель Охлаждение	Modell Lüfter	モデルファン	모델팬	Model Fan	Модель охолодження	-
11	\t	机箱风扇	Case fan	Ventilador de la carcasa	Ventilateur de boîtier	Ventola della testa	Корпусной Охлаждение	Gehäuse-Lüfter	ケースファン	케이스팬	Kasa Fanı	Корпусне охолодження	-
12	\t	静音	Silent	Silencio	Silencieux	Silenziosa	Тихо	Stumm schalten	静音	저소음	Sessiz	Тихо	-
13	\t	正常	Normal	Normal	Normal	Modalità normale	Нормально	Normal	通常	일반 	Normal	Нормально	-
14	\t	狂暴 	Ludicrous	Rápido	Rapide	Ultraveloce	Максимум	Schnell	強力	초고속 	Hızlı	Максимум	-
15	\t	本地	Local	Local	Local	Locale	Локальная сеть	Lokal	ローカル	로컬	Yerel	Локальна мережа	-
16	\t	U盘	USB Drive	Memoria USB	Mémoire USB	Dispositivo USB	USB-накопитель	USB-Laufwerk	USBドライブ	USB 드라이브	USB Sürücü	USB-накопичувач	-
17	\t	打印历史	Print History	Historial de impresión	Historique d'impression	Cronologia di stampa	История печати	Druckhistorie	プリント履歴	프린트 내역	Yazdırma Geçmişi	Історія друку	-
18	\t	设置	Settings	Configuración	Paramètres	Impostazioni	Настройки	Einstellungen	設定	설정	Ayarlar	Налаштування	-
19	\t	网络	Network	Red	Réseau	Rete	Сеть	Netzwerk	ネットワーク	네트워크	Ağ	Мережа	-
20	\t	信息	Info	Información	Info	Informazioni	Информация	Informationen	情報	정보	Bilgi	Інформація	-
21	\t	摄像头	Camera	Cámara	Caméra	Camera	Камера	Kamera	カメラ	카메라	Kamera	Камера	-
22	\t	校准	Calibration	Calibración	Calibration	Calibrazione	Калибровка	Kalibrierung	キャリブレーション	교정	Kalibrasyon	Калібрування	-
23	\t	文件名称	File Name	Nombre del archivo	Nom du fichier	Nome del file	Имя файла	Dateiname	ファイル名	파일 이름	Dosya Adı	Ім'я файла	-
24	\t	开始时间	Start Time	Hora de inicio	Temps de départ	Ora di inizio	Время начала	Startzeit	開始時間	시작 시간	Başlangıç Zamanı	Час початку	-
25	\t	总共耗时	Duration	Duración	Durée	Durata	Время печати	Dauer	合計印刷時間	총 시간	Süre	Час друку	-
26	\t	状态	State	Estado	Statut	Stato	Статус	Zustand	ステータス	상태	Durum	Статус	-
27	\t	导入U盘	Import USB drive	Importar memoria USB	Importer la mémoire USB	Copia nel dispositivo USB	Импортировать с носителя	USB-Laufwerk	USBドライブを挿入する	USB 드라이브 가져오기	USB Sürücüsünü İçe Aktar	Імпортувати з носія	-
28	\t	删除	Delete	Borrar	Supprimer	Cancella	Удалить	Löschen	削除する	삭제	Sil	Видалити	-
29	\t	延时摄影	Time-Lapse Photography	Fotografía time-lapse	Photographie time-lapse	Fotografie per il Time-lapse	Интервальная съёмка (Timelapse)	Zeitrafferaufnahmen	タイムラプス	타임랩스 사진	Hızlandırılmış Fotoğrafçılık	Інтервальна зйомка	-
30	\t	打印校准	Level	Calibración de impresión	Calibration de l'impression	Calibrazione di stampa	Калибровка печати	Druck-Kalibrierung	プリントキャリブレーション	단계	Baskı Kalibrasyonu	Калібрування друку	-
